# BEAST v1.10.5 Prerelease #23570d1
# Generated Thu Aug 27 16:44:01 PDT 2020 [seed=666]
# -seed 666 -overwrite /Users/homefolder/FluHawkes/xml/fluCombi_geo_BMDS_Hawkes_Exper.xml
state	posterior	prior	likelihood	mdsLikelihood
240000	-1.8559673365355197E7	-1541.3473059062292	-1.8558132018049292E7	-1.8558132018049292E7
250000	-1.8559729659248665E7	-1541.7744827925017	-1.855818788476587E7	-1.855818788476587E7
260000	-1.8559740139308427E7	-1542.604019582286	-1.8558197535288844E7	-1.8558197535288844E7
270000	-1.8559754343303584E7	-1542.1933930112846	-1.8558212149910573E7	-1.8558212149910573E7
280000	-1.8559712493341748E7	-1540.2662372021061	-1.8558172227104545E7	-1.8558172227104545E7
290000	-1.855979654872303E7	-1540.5888062913843	-1.855825595991674E7	-1.855825595991674E7
300000	-1.8559674132815085E7	-1538.0815075532173	-1.8558136051307533E7	-1.8558136051307533E7
310000	-1.8559751324445117E7	-1538.7915896685959	-1.8558212532855447E7	-1.8558212532855447E7
320000	-1.855985324920654E7	-1538.5000570020202	-1.855831474914954E7	-1.855831474914954E7
330000	-1.855974982227288E7	-1540.2746707446017	-1.8558209547602132E7	-1.8558209547602132E7
340000	-1.8559639331047304E7	-1540.4608713079306	-1.8558098870175995E7	-1.8558098870175995E7
350000	-1.8559727178301595E7	-1538.1996737120248	-1.8558188978627883E7	-1.8558188978627883E7
360000	-1.8559666046154592E7	-1536.961161234166	-1.855812908499336E7	-1.855812908499336E7
370000	-1.855971124115765E7	-1534.5562227177056	-1.8558176684934933E7	-1.8558176684934933E7
380000	-1.8559671742797114E7	-1533.8295365242893	-1.855813791326059E7	-1.855813791326059E7
390000	-1.855973972350078E7	-1533.912015856526	-1.8558205811484925E7	-1.8558205811484925E7
400000	-1.8559695892519698E7	-1531.69842532974	-1.8558164194094367E7	-1.8558164194094367E7
410000	-1.855972961312107E7	-1530.640672178632	-1.8558198972448893E7	-1.8558198972448893E7
420000	-1.855982068720435E7	-1531.8923142301421	-1.855828879489012E7	-1.855828879489012E7
430000	-1.8559852410802677E7	-1528.007443009557	-1.8558324403359666E7	-1.8558324403359666E7
440000	-1.855964978887749E7	-1527.8400230868472	-1.8558121948854405E7	-1.8558121948854405E7
450000	-1.855969707483616E7	-1527.2769167252384	-1.8558169797919437E7	-1.8558169797919437E7
460000	-1.8559764077433806E7	-1524.230248430762	-1.8558239847185373E7	-1.8558239847185373E7
470000	-1.8559751743750505E7	-1522.6935364091305	-1.8558229050214097E7	-1.8558229050214097E7
480000	-1.8559603173305552E7	-1520.4350735999114	-1.8558082738231953E7	-1.8558082738231953E7
490000	-1.8559731366477333E7	-1518.2086957180386	-1.8558213157781616E7	-1.8558213157781616E7
500000	-1.8559740246576972E7	-1517.8005705503742	-1.855822244600642E7	-1.855822244600642E7
510000	-1.8559610837244403E7	-1515.9839297988658	-1.8558094853314605E7	-1.8558094853314605E7
520000	-1.8559693080503125E7	-1513.528874911639	-1.8558179551628213E7	-1.8558179551628213E7
530000	-1.855966375344445E7	-1510.1558417712627	-1.855815359760268E7	-1.855815359760268E7
540000	-1.8559705128902953E7	-1508.3999836083403	-1.8558196728919346E7	-1.8558196728919346E7
550000	-1.8559688131014813E7	-1505.4020859505722	-1.8558182728928864E7	-1.8558182728928864E7
560000	-1.8559704878611762E7	-1506.4196461582585	-1.8558198458965603E7	-1.8558198458965603E7
570000	-1.8559722900716078E7	-1505.5341777691979	-1.855821736653831E7	-1.855821736653831E7
580000	-1.855968170430635E7	-1506.2890987431892	-1.8558175415207606E7	-1.8558175415207606E7
590000	-1.8559736915328167E7	-1508.8172625098368	-1.855822809806566E7	-1.855822809806566E7
600000	-1.855967444688115E7	-1505.5145315765453	-1.8558168932349574E7	-1.8558168932349574E7
610000	-1.8559601162296575E7	-1506.3414654315904	-1.8558094820831142E7	-1.8558094820831142E7
620000	-1.8559571758472696E7	-1506.387159407816	-1.855806537131329E7	-1.855806537131329E7
630000	-1.8559670124274265E7	-1503.4462576722135	-1.855816667801659E7	-1.855816667801659E7
640000	-1.855968089681555E7	-1500.3393974327682	-1.8558180557418115E7	-1.8558180557418115E7
650000	-1.8559622469912E7	-1499.8080884362532	-1.8558122661823563E7	-1.8558122661823563E7
660000	-1.8559691518150184E7	-1498.2549292789454	-1.8558193263220906E7	-1.8558193263220906E7
670000	-1.8559771689039122E7	-1499.324635112555	-1.855827236440401E7	-1.855827236440401E7
680000	-1.855969173628906E7	-1498.6561030222065	-1.855819308018604E7	-1.855819308018604E7
690000	-1.855967467883503E7	-1496.5178021335119	-1.8558178161032896E7	-1.8558178161032896E7
700000	-1.8559647228525516E7	-1494.5279602381956	-1.855815270056528E7	-1.855815270056528E7
710000	-1.8559603443912383E7	-1492.9425534116335	-1.855811050135897E7	-1.855811050135897E7
720000	-1.855960064985844E7	-1493.4340407755587	-1.8558107215817664E7	-1.8558107215817664E7
730000	-1.8559701933865946E7	-1492.7112145679457	-1.8558209222651377E7	-1.8558209222651377E7
740000	-1.8559677855357602E7	-1492.3195232897442	-1.8558185535834312E7	-1.8558185535834312E7
750000	-1.855964204431692E7	-1491.24231744515	-1.8558150801999476E7	-1.8558150801999476E7
760000	-1.8559719958790734E7	-1491.129890260736	-1.8558228828900475E7	-1.8558228828900475E7
770000	-1.855971640244231E7	-1490.6516587572983	-1.855822575078355E7	-1.855822575078355E7
780000	-1.8559683784496006E7	-1490.8368433768583	-1.855819294765263E7	-1.855819294765263E7
790000	-1.8559629609689746E7	-1489.6840543940161	-1.8558139925635353E7	-1.8558139925635353E7
800000	-1.8559611285126477E7	-1487.9959057427984	-1.8558123289220735E7	-1.8558123289220735E7
810000	-1.855962030290258E7	-1487.0762350441137	-1.8558133226667535E7	-1.8558133226667535E7
820000	-1.8559713495283585E7	-1485.7474526723636	-1.8558227747830912E7	-1.8558227747830912E7
830000	-1.8559651018515687E7	-1485.6708315207497	-1.8558165347684167E7	-1.8558165347684167E7
840000	-1.8559666532644786E7	-1483.3492427749898	-1.855818318340201E7	-1.855818318340201E7
850000	-1.8559678718811847E7	-1482.3173758525645	-1.8558196401435994E7	-1.8558196401435994E7
